Metodo fit : gauss + linear offset
Nome 	Risoluzione chi2	 
 LSO2.F18.txt 	0.13115675939264684 	0 	2.0451597063452223 	 
 LSO3.F18.txt 	0.1500443027921979 	0 	2.014994596443653 	 
 LSO2.Ba133.txt 	0.5682962019234709 	0.1743573697606386 	12.380604840909557 	 
 LSO1.F18.txt 	0.11383126780685426 	0 	15.810365862336338 	 
 LSO1.Ba133.txt 	0.2264840398244986 	0.173382816505628 	17.187968549447778 	 


Metodo fit : gaussiana-skew + linear offseet
Name 	Res1 	sigma(Res1) 	Res2 	sigma(Res2) 	chi_square 	 
 LSO2.F18.txt 	0.1910238605932417 	0.051617284962731304 	0 	0 	4.384162610253144 	 
 LSO3.F18.txt 	0.15104867446043327 	0.005675721282914274 	0 	0 	1.0338866417552153 	 
 LSO2.Ba133.txt 	0.5682962019234709 	0.09838974636096429 	0.1743573697606386 	0.018787075716444335 	12.380604840909557 	 
 LSO1.F18.txt 	0.08152297696778779 	0.010417728201715815 	0 	0 	1.6381556042190222 	 
 LSO1.Ba133.txt 	0.2264840398244986 	0.014147274293731464 	0.173382816505628 	0.004642640322893574 	17.187968549447778 	 

 metodo fit : gauss + linear offset + KN
 Name 	Res1 	sigma(Res1) 	Res2 	sigma(Res2) 	chi_square 	 
 LSO2.F18.txt 	0.12657684152971116 	0.012273836696893234 	0 	0 	1.2736915288831328 	 
 LSO3.F18.txt 	0.15074081870553296 	0.0016960690846034494 	0 	0 	1.223633776523393 	 
 LSO2.Ba133.txt 	0.2504180293251754 	0.013177229837132553 	0.21467274986619425 	0.006465133097178065 	1.2006701889158473 	 
 LSO1.F18.txt 	0.09758635084885824 	0.00685469224479794 	0 	0 	1.0238049056744978 	 
 LSO1.Ba133.txt 	0.21081071982120314 	0.0072513946472372685 	0.16160068617410805 	0.0027891700648486 	2.4326205067492017 	 
 
